timestep,weekday,yearday,holiday_-2,holiday_-1,holiday_0,holiday_+1,holiday_+2,resident_pop,tourist_pop,temp_min,temp_max,prec_prob,wind_speed
2330.0,4.0,133.0,0.0,0.0,0.0,1.0,1.0,1230025.7458563535,1757590.3548387096,18.0,28.0,1.0,1.0
2331.0,5.0,134.0,0.0,0.0,1.0,1.0,0.0,1230071.546961326,1768171.9677419355,18.0,28.0,1.0,1.0
2332.0,6.0,135.0,0.0,1.0,1.0,0.0,0.0,1230117.3480662983,1778753.5806451612,18.0,29.0,1.0,1.0
2333.0,0.0,136.0,1.0,1.0,0.0,0.0,0.0,1230163.1491712707,1789335.1935483871,18.0,30.0,0.0,1.0
2334.0,1.0,137.0,1.0,0.0,0.0,0.0,0.0,1230208.950276243,1799916.8064516129,17.0,31.0,0.0,1.0
2335.0,2.0,138.0,0.0,0.0,0.0,0.0,0.0,1230254.7513812154,1810498.4193548388,17.0,32.0,0.0,1.0
2336.0,3.0,139.0,0.0,0.0,0.0,0.0,1.0,1230300.5524861878,1821080.0322580645,18.0,35.0,0.0,2.0
2337.0,4.0,140.0,0.0,0.0,0.0,1.0,1.0,1230346.3535911602,1831661.6451612904,19.0,34.0,1.0,1.0
2338.0,5.0,141.0,0.0,0.0,1.0,1.0,0.0,1230392.1546961325,1842243.2580645161,20.0,29.0,3.0,1.0
2339.0,6.0,142.0,0.0,1.0,1.0,0.0,0.0,1230437.955801105,1852824.870967742,21.0,30.0,0.0,1.0
2340.0,0.0,143.0,1.0,1.0,0.0,0.0,0.0,1230483.7569060773,1863406.4838709678,20.0,32.0,0.0,1.0
2341.0,1.0,144.0,1.0,0.0,0.0,0.0,0.0,1230529.5580110496,1873988.0967741935,19.0,34.0,0.0,2.0
2342.0,2.0,145.0,0.0,0.0,0.0,0.0,0.0,1230575.359116022,1884569.7096774194,21.0,34.0,0.0,1.0
2343.0,3.0,146.0,0.0,0.0,0.0,0.0,1.0,1230621.1602209944,1895151.322580645,20.0,32.0,0.0,1.0
2344.0,4.0,147.0,0.0,0.0,0.0,1.0,1.0,1230666.9613259668,1905732.935483871,21.0,30.0,0.0,3.0
2345.0,5.0,148.0,0.0,0.0,1.0,1.0,0.0,1230712.7624309391,1916314.5483870967,18.0,28.0,1.0,1.0
2346.0,6.0,149.0,0.0,1.0,1.0,0.0,0.0,1230758.5635359115,1926896.1612903227,17.0,30.0,0.0,1.0
2347.0,0.0,150.0,1.0,1.0,0.0,0.0,0.0,1230804.3646408839,1937477.7741935484,18.0,31.0,0.0,1.0
2348.0,1.0,151.0,1.0,0.0,0.0,0.0,0.0,1230850.1657458562,1948059.3870967743,19.0,30.0,0.0,1.0
2349.0,2.0,152.0,0.0,0.0,0.0,0.0,0.0,1230895.9668508288,1958641.0,18.0,31.0,0.0,1.0
2350.0,3.0,153.0,0.0,0.0,0.0,0.0,1.0,1230941.7679558012,1969128.8666666667,19.0,35.0,0.0,1.0
2351.0,4.0,154.0,0.0,0.0,0.0,1.0,1.0,1230987.5690607736,1979616.7333333334,21.0,33.0,1.0,1.0
2352.0,5.0,155.0,0.0,0.0,1.0,1.0,0.0,1231033.370165746,1990104.6,20.0,33.0,0.0,2.0
2353.0,6.0,156.0,0.0,1.0,1.0,0.0,0.0,1231079.1712707183,2000592.4666666666,20.0,33.0,0.0,1.0
2354.0,0.0,157.0,1.0,1.0,0.0,0.0,0.0,1231124.9723756907,2011080.3333333333,20.0,32.0,1.0,1.0
2355.0,1.0,158.0,1.0,0.0,0.0,0.0,0.0,1231170.773480663,2021568.2,20.0,31.0,0.0,0.0
2356.0,2.0,159.0,0.0,0.0,0.0,0.0,0.0,1231216.5745856354,2032056.0666666667,19.0,31.0,2.0,1.0
2357.0,3.0,160.0,0.0,0.0,0.0,0.0,1.0,1231262.3756906078,2042543.9333333333,20.0,29.0,1.0,1.0
2358.0,4.0,161.0,0.0,0.0,0.0,1.0,1.0,1231308.1767955802,2053031.8,19.0,28.0,1.0,1.0
2359.0,5.0,162.0,0.0,0.0,1.0,1.0,0.0,1231353.9779005526,2063519.6666666667,19.0,30.0,1.0,1.0
2360.0,6.0,163.0,0.0,1.0,1.0,0.0,0.0,1231399.779005525,2074007.5333333334,18.0,30.0,0.0,1.0
2361.0,0.0,164.0,1.0,1.0,0.0,0.0,0.0,1231445.5801104973,2084495.4,18.0,31.0,0.0,1.0
2362.0,1.0,165.0,1.0,0.0,0.0,0.0,0.0,1231491.3812154697,2094983.2666666666,19.0,35.0,0.0,1.0
2363.0,2.0,166.0,0.0,0.0,0.0,0.0,0.0,1231537.182320442,2105471.1333333333,21.0,36.0,0.0,0.0
2364.0,3.0,167.0,0.0,0.0,0.0,0.0,1.0,1231582.9834254144,2115959.0,20.0,35.0,1.0,0.0
2365.0,4.0,168.0,0.0,0.0,0.0,1.0,1.0,1231628.7845303868,2126446.8666666667,19.0,34.0,0.0,1.0
2366.0,5.0,169.0,0.0,0.0,1.0,1.0,0.0,1231674.5856353592,2136934.7333333334,19.0,33.0,0.0,1.0
2367.0,6.0,170.0,0.0,1.0,1.0,0.0,0.0,1231720.3867403315,2147422.6,21.0,35.0,0.0,1.0
2368.0,0.0,171.0,1.0,1.0,0.0,0.0,0.0,1231766.187845304,2157910.466666667,21.0,36.0,0.0,1.0
2369.0,1.0,172.0,1.0,0.0,0.0,0.0,0.0,1231811.9889502763,2168398.3333333335,21.0,39.0,0.0,0.0
2370.0,2.0,173.0,0.0,0.0,0.0,0.0,0.0,1231857.7900552487,2178886.2,22.0,38.0,0.0,0.0
2371.0,3.0,174.0,0.0,0.0,0.0,0.0,1.0,1231903.591160221,2189374.066666667,22.0,39.0,0.0,0.0
2372.0,4.0,175.0,0.0,0.0,0.0,1.0,1.0,1231949.3922651934,2199861.9333333336,22.0,38.0,0.0,1.0
2373.0,5.0,176.0,0.0,0.0,1.0,1.0,0.0,1231995.1933701658,2210349.8,22.0,35.0,0.0,1.0
2374.0,6.0,177.0,0.0,1.0,1.0,0.0,0.0,1232040.9944751381,2220837.6666666665,23.0,35.0,0.0,1.0
2375.0,0.0,178.0,1.0,1.0,0.0,0.0,0.0,1232086.7955801105,2231325.533333333,21.0,31.0,1.0,1.0
2376.0,1.0,179.0,1.0,0.0,0.0,0.0,0.0,1232132.596685083,2241813.4,20.0,29.0,2.0,1.0
2377.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,1232178.3977900553,2252301.2666666666,18.0,30.0,0.0,1.0
2378.0,3.0,181.0,0.0,0.0,0.0,0.0,1.0,1232224.1988950276,2262789.1333333333,18.0,30.0,0.0,1.0
2379.0,4.0,182.0,0.0,0.0,0.0,1.0,1.0,1232270.0,2273277.0,19.0,31.0,0.0,1.0
2380.0,5.0,183.0,0.0,0.0,1.0,1.0,0.0,1232315.8011049724,2270451.193548387,19.0,31.0,0.0,1.0
